연월,공급업체명,공급업체유형,계약내역,계약유형
2023-11,하이밸류컨설팅(주),중소기업,'21~'23년도 SAP 패키지 서포트 사용권 구매,구매
2023-01,(주)케이에스엔지니어링,중소기업,N2 BOOSTER COMPRESSOR 소모성 자재 구매(재설계)/C22P-복합61-00,구매
2023-10,징가코리아,중소기업,"2023년 신보령 1,2호기 순환수배관 코팅 보수 단가공사",공사
2023-12,헥스파워시스템(주),중소기업,제주대학교 태양광 인버터 및 접속함 구매,구매
2023-12,토틀테크,중소기업,신보령 저회처리설비 정비자재 구매,구매
2023-07,수림조경건설(주),중소기업,2023년 보령발전본부 조경관리공사,공사
2023-09,마린테크,중소기업,2023년도 신서천 항로표지 관리 및 보수공사,공사
2023-11,주식회사 신창중공업,중소기업,"HRSG#1,2 HP BCP 전동기 긴급 반출정비",공사
2023-05,주)광명전기,중소기업,GIS 정밀점검 78BAY(2회차),공사
2023-12,(주)이투에스,중소기업,내연 2호기 국산 여자시스템 (설치조건부) 구매,구매
2023-07,사단법인장애인동반성장협회 우리사업장,중소기업,외곽보안용 CCTV 성능개선용 물품 구매,구매
2023-11,(주)광명전기,중소기업,"제1,2부두 연속식하역기 전력기기 구매(변압기반외 3종, 현장설치도)/C23P-기술48-00",구매
2023-06,사단법인장애인동반성장협회 우리사업장,중소기업,신보령 CCTV 및 영상저장장치 구매,구매
2023-06,젠텍엔지니어링(주),중소기업,"유찰수의공고_보령 6호기 발전기 회전자 극간접속선 교체공사,C23P-공(2)30-00",공사
2023-01,신한전설(주),중소기업,본부 음용수 공급설비 전기공사 / C22P-공(2)-26-00,공사
2023-07,(사)장애인인권센터 ICT 사업단,중소기업,신보령 외곽울타리 및 항만 보안시설 교체용 CCTV 구매,구매
2023-12,(주)선우종합건설,중소기업,2023년도 발전소 토목 영선공사,공사
2023-11,(주)존슨엘엔이,중소기업,제주발전본부 경유 수송 용역,용역
2023-12,소만사,중소기업,정보보호시스템 보강 구축 자재 구매,구매
2023-05,이노뎁(주),중소기업,CCTV관제 환경개선 DID모니터 구매 대금지,구매
2023-10,(주)건축사사무소매스스터디스,중소기업,서울복합 공원 지하주차장 설계용역,용역
2023-12,현성펌프기술,중소기업,"제3,4호기 CTCS BALL RECIRCULATION PUMP 국산화/C23P-2발121-00",구매
2023-06,에스엠테크놀러지(주),중소기업,복합발전소 IP BYPASS 계통 E-H ACTUATOR 예비품 구매/C23P-복합16-00,구매
2023-06,(주)한종이엔지,중소기업,"복합2호기 HRSG #3,4 METAL BELLOWS 구매(설치조건부)",구매
2023-02,인포빌(주),중소기업,KOMIPO 디지털 재난대응 통합플랫폼 구축용역,용역
2023-03,거명파워(주),중소기업,현장-22-19호-1회차 협약금지급(거명파워),구매
2023-10,(유)대경산업,중소기업,"제5,6호기 SLURRY LINE 안전발판 설치용 GRATING 구매",구매
2023-01,(주)케이티에스,중소기업,서울복합 HRSG 탑엔트리형 메탈시트 볼밸브 구매,구매
2023-07,제이에스티앤랩,중소기업,"제3,6호기 보일러 유압밸브 제어기기 정밀점검 공사, C23P-공(2)04-00",공사
2023-12,(주)미래보건환경연구소,중소기업,유찰수의공고_신보령 2023년 작업환경측정 위탁용역,용역
2023-10,(주) 케이티엠,중소기업,보령본부 신사옥 대강당 조명설비 개선공사/23-(공)기술34,공사
2023-02,(주)홍익기술단,중소기업,2부두 정밀안전진단 및 성능평가 용역 중공금,용역
2023-06,수신건설,중소기업,2023년 발전소 및 사택 영선공사,공사
2023-09,쎈종합건설(주),중소기업,토건분야 영선공사,공사
2023-11,(주)유신,중소기업,내연 2호기 탈질설비 촉매(설치조건부) 구매,구매
2023-08,(주)지엔씨에너지,중소기업,"보령 복합 비상발전기 계획예방정비공사,C23P-공(복)20-00",공사
2023-07,샬레코리아(주),중소기업,2023년 전사 하계휴양소 위탁운영 용역,용역
2023-10,샬레코리아(주),중소기업,2023년 전사 하계휴양소 위탁운영 용역,용역
2023-06,(주)세일시스,중소기업,터빈 CROSS OVER PIPE 정비 플랫폼 구매,구매
2023-05,에이원종합건설주식회사,중소기업,2022년 사택 영선공사,공사
2023-04,(주)한국산업,중소기업,2022년도 발전소 건축 영선공사,공사
2023-10,한신기계공업(주),중소기업,제3발전소 유기성 고형연료 공기압축기 정비용 자재 구매,구매
2023-03,주식회사 태영,중소기업,매봉산 풍력발전22.9KV 송수전선로 지중화공사(C22P-공(계전)19-00),공사
2023-04,(주)한진필터,중소기업,"복합 1,2호기 AIR INTAKE FILTER 구매",구매
2023-07,징가코리아,중소기업,"2023년 신보령 1,2호기 순환수배관 코팅 보수 단가공사",공사
2023-04,(주)동연중공업,중소기업,제1부두 연속식하역기(CSU) TWO-WAY CHUTE 제작구매/C23P-기술11-00,구매
2023-07,세니온,중소기업,345KV 송전선로 보호배전반 구매(현장설치도),구매
2023-11,한국초고압(주),중소기업,"제5호기 주변압기 정밀점검 및 오일펌프 교체공사,C23P-공(2)60-00",공사
2023-06,유창기계공업(주),중소기업,회처리설비 BLOWER 정비자재 구매 계약의뢰,구매
2023-03,인코시스주식회사,중소기업,복합발전소 UNIT#2 계획예방정비용 진동계통 자재구매(재설계)/C23P-복합17-00,구매
2023-05,(주)한국건설안전공사,중소기업,전사 위험성평가 표준화 용역,용역
2023-10,주식회사 인강,중소기업,증기터빈 CEP 인양 구역 가드 내장형 3D 그레이팅(설치조건부),구매
2023-06,아림건설(주),중소기업,KOMIPO AI HUB 및 데이터쉐어링 존 구축공사,공사
2023-06,신원기업 주식회사,중소기업,"복합 2호기 HRSG #3,4 IP EVA TUBE 교체 공사",공사
2023-07,주식회사 그린월드,중소기업,2023년 신보령발전본부 조경관리공사,공사
2023-12,주식회사 에스엔아이시스템,중소기업,모바일 결재 및 협력사지원시스템 구축 용역,용역
2023-12,㈜에이치케이씨,중소기업,컨베이어벨트 안전사고 방지용 안전신호등 추가설치공사/23-(공)기술41,공사
2023-05,(주)동천아이엔씨,중소기업,"2023년도 정보통신설비 정비공사,23-(공)경00",공사
2023-04,(주)금강전력,중소기업,"보령발전본부 복합 가설건축물 신축 전기공사,22-(공)친-03",공사
2023-06,주식회사 에스엔아이시스템,중소기업,통합건강관리시스템 KOMIPO-EHP 구축 용역,용역
2023-08,(주)현우이앤에스,중소기업,7호기 순환수 배관 코팅단가,공사
2023-06,주식회사 엑셈,중소기업,(조달) APM 및 DPM 소프트웨어 구매,구매
2023-06,네오피스(주),중소기업,근접무선조작형 차단기 인출·입장치 구매/C23P-기술23-00,구매
